DISTNAME,CAMPNAME,CNTYNAME,Longitude,Latitude,STREET,CITY,ZIP,CAMPUS,year,COUNT_ALL,COUNT_BLACK,COUNT_HIS,COUNT_WHITE,COUNT_AI,COUNT_API,COUNT_ASIAN,COUNT_PI,COUNT_TWO,COUNT_ECON,COUNT_ELL,PER_BLACK,PER_HIS,PER_WHITE,PER_AI,PER_API,PER_ASIAN,PER_PI,PER_TWO,PER_ECON,PER_ELL
BASTROP ISD,BLUEBONNET ELEMENTARY SCHOOL,BASTROP,-97.753296,33.222445,1400 HWY 380,BRIDGEPORT,76426,11901109,01-01-07,567,39,301,221,2,4,,,,357,154,6.9,53.1,39,0.4,0.7,,,,63,27.2
BASTROP ISD,LOST PINES ELEMENTARY SCHOOL,BASTROP,-97.483955,25.905956,1811 INTERNATIONAL BLVD,BROWNSVILLE,78521,11901110,01-01-07,662,26,285,351,0,0,,,,462,153,3.9,43.1,53,0,0,,,,69.8,23.1
ELGIN ISD,ELGIN H S,BASTROP,-96.102646,33.769118,9363 E FM 273,IVANHOE,75447,11902001,01-01-07,988,163,404,411,2,8,,,,504,45,16.5,40.9,41.6,0.2,0.8,,,,51,4.6
ELGIN ISD,BASTROP COUNTY JUVENILE BOOT CAMP,BASTROP,-97.103397,33.132732,7501 TEASLEY LN,DENTON,76210,11902003,01-01-07,2,0,1,1,0,0,,,,1,0,0,50,50,0,0,,,,50,0
ELGIN ISD,PHOENIX HIGH SCHOOL,BASTROP,-106.341463,31.767644,10530 JANWAY DR,EL PASO,79925,11902004,01-01-07,25,1,10,14,0,0,,,,12,0,4,40,56,0,0,,,,48,0
ELGIN ISD,ELGIN MIDDLE SCHOOL,BASTROP,-99.457382720180362,27.429938849765151,5910 SAINT LUKE BLVD,LAREDO,78046,11902041,01-01-07,752,105,362,280,2,3,,,,440,78,14,48.1,37.2,0.3,0.4,,,,58.5,10.4
ELGIN ISD,BOOKER T WASHINGTON ELEMENTARY,BASTROP,-95.416748,29.571195,2225 KINGSLEY,PEARLAND,77584,11902101,01-01-07,579,70,328,174,1,6,,,,407,209,12.1,56.6,30.1,0.2,1,,,,70.3,36.1
ELGIN ISD,ELGIN ELEMENTARY,BASTROP,-96.57833,32.999813,103 HENSLEY,WYLIE,75098,11902102,01-01-07,599,79,306,212,1,1,,,,401,135,13.2,51.1,35.4,0.2,0.2,,,,66.9,22.5
ELGIN ISD,NEIDIG EL,BASTROP,-95.29692,29.772285,7211 MARKET ST,HOUSTON,77020,11902103,01-01-07,611,119,312,172,2,6,,,,393,122,19.5,51.1,28.2,0.3,1,,,,64.3,20
SAN MARCOS CISD,SAN MARCOS H S,HAYS,-95.640516999999875,32.099056,13155 HWY 175 E,LARUE,75770,105902001,01-01-07,1858,104,1195,539,1,19,,,,1049,61,5.6,64.3,29,0.1,1,,,,56.5,3.3
SAN MARCOS CISD,PRIDE HIGH SCHOOL,HAYS,-94.70816,32.473436,1311 LILLY ST,LONGVIEW,75602,105902002,01-01-07,87,0,64,23,0,0,,,,47,2,0,73.6,26.4,0,0,,,,54,2.3
SAN MARCOS CISD,HAYS CO JUVENILE JUSTICE ALTERNAT,HAYS,-98.554146,29.395776,1626 THOMPSON PL,SAN ANTONIO,78226,105902004,01-01-07,5,0,5,0,0,0,,,,5,1,0,100,0,0,0,,,,100,20
SAN MARCOS CISD,GOODNIGHT J H,HAYS,-99.502136,27.512846,1508 SAN EDUARDO,LAREDO,78040,105902041,01-01-07,543,42,373,124,0,4,,,,390,33,7.7,68.7,22.8,0,0.7,,,,71.8,6.1
SAN MARCOS CISD,MILLER J H,HAYS,-95.841698,30.539282,9477 PANTHER DR,RICHARDS,77873,105902043,01-01-07,522,32,320,164,0,6,,,,312,22,6.1,61.3,31.4,0,1.1,,,,59.8,4.2
SAN MARCOS CISD,BOWIE EL,HAYS,-94.971211193999693,29.366455054000483,1431 BAYOU RD,LA MARQUE,77568,105902101,01-01-07,697,20,549,121,0,7,,,,524,131,2.9,78.8,17.4,0,1,,,,75.2,18.8
SAN MARCOS CISD,CROCKETT EL,HAYS,-95.316924,33.525667,247 CHURCH,DEPORT,75435,105902102,01-01-07,725,28,470,221,1,5,,,,468,52,3.9,64.8,30.5,0.1,0.7,,,,64.6,7.2
SAN MARCOS CISD,DEZAVALA EL,HAYS,-96.116877,32.37205200000011,822 W MASON,MABANK,75147,105902103,01-01-07,684,23,519,139,3,0,,,,468,70,3.4,75.9,20.3,0.4,0,,,,68.4,10.2
SAN MARCOS CISD,BONHAM PK,HAYS,-97.407519,32.858960000000131,6716 BOB HANGER RD,FORT WORTH,76179,105902104,01-01-07,382,15,334,32,0,1,,,,345,63,3.9,87.4,8.4,0,0.3,,,,90.3,16.5
SAN MARCOS CISD,TRAVIS EL,HAYS,-96.46835,30.491102000000133,FM 2155,SNOOK,77878,105902105,01-01-07,642,38,456,141,2,5,,,,512,62,5.9,71,22,0.3,0.8,,,,79.8,9.7
SAN MARCOS CISD,HERNANDEZ INT,HAYS,-94.358066,32.761427,304 W BROADWAY,JEFFERSON,75657,105902107,01-01-07,1034,49,706,272,4,3,,,,695,89,4.7,68.3,26.3,0.4,0.3,,,,67.2,8.6
DRIPPING SPRINGS ISD,DRIPPING SPRINGS H S,HAYS,-102.157647,32.029405,5107 GREATHOUSE AVE,MIDLAND,79707,105904001,01-01-07,1172,11,131,1010,7,13,,,,74,13,0.9,11.2,86.2,0.6,1.1,,,,6.3,1.1
DRIPPING SPRINGS ISD,DRIPPING SPRINGS MIDDLE,HAYS,-96.999298,32.81801,310 DAVIS AVE,IRVING,75061,105904041,01-01-07,877,6,112,747,4,8,,,,88,15,0.7,12.8,85.2,0.5,0.9,,,,10,1.7
DRIPPING SPRINGS ISD,DRIPPING SPRINGS ELEMENTARY SCHOO,HAYS,-96.964883,33.225135,1000 FM 2931,AUBREY,76227,105904101,01-01-07,899,6,123,754,1,15,,,,94,45,0.7,13.7,83.9,0.1,1.7,,,,10.5,5
DRIPPING SPRINGS ISD,WALNUT SPRINGS ELEMENTARY SCHOOL,HAYS,-95.80271,32.684353,131 VZCR 1901,FRUITVALE,75127,105904102,01-01-07,809,3,117,676,4,9,,,,137,46,0.4,14.5,83.6,0.5,1.1,,,,16.9,5.7
HAYS CISD,JACK C HAYS H S,HAYS,-96.987905999999896,32.719008,1301 E CORAL WAY,GRAND PRAIRIE,75051,105906001,01-01-07,1709,51,752,889,7,10,,,,446,60,3,44,52,0.4,0.6,,,,26.1,3.5
HAYS CISD,ALTER IMPACT CTR,HAYS,-97.611343578999652,30.442779129000535,616 FM 685 SUITES 201-206B,PFLUGERVILLE,78660,105906002,01-01-07,76,5,51,20,0,0,,,,39,2,6.6,67.1,26.3,0,0,,,,51.3,2.6
HAYS CISD,HAYS CO JUVENILE JUSTICE ALT ED P,HAYS,-96.35947,33.172311,501 HWY 78 N,FARMERSVILLE,75442,105906003,01-01-07,11,0,9,2,0,0,,,,4,1,0,81.8,18.2,0,0,,,,36.4,9.1
HAYS CISD,ACADEMY AT HAYS,HAYS,-98.377007,32.245503,21261 N FM 219,LINGLEVILLE,76461,105906004,01-01-07,113,3,59,50,1,0,,,,42,5,2.7,52.2,44.2,0.9,0,,,,37.2,4.4
HAYS CISD,LEHMAN HIGH SCHOOL,HAYS,-95.311584,29.772386,5910 MARKET ST,HOUSTON,77020,105906005,01-01-07,1301,98,831,353,8,11,,,,606,49,7.5,63.9,27.1,0.6,0.8,,,,46.6,3.8
HAYS CISD,R C BARTON MIDDLE SCHOOL,HAYS,-98.45005,29.58751,16080 HENDERSON PASS,SAN ANTONIO,78232,105906041,01-01-07,650,25,350,270,1,4,,,,251,31,3.8,53.8,41.5,0.2,0.6,,,,38.6,4.8
HAYS CISD,DAHLSTROM MIDDLE SCHOOL,HAYS,-98.218155,26.112093000000126,9701 S JACKSON RD,PHARR,78577,105906043,01-01-07,659,21,253,383,0,2,,,,159,28,3.2,38.4,58.1,0,0.3,,,,24.1,4.2
HAYS CISD,WALLACE MIDDLE SCHOOL,HAYS,-98.684719,29.523519,8555 BOWENS CROSSING,SAN ANTONIO,78250,105906044,01-01-07,607,42,363,196,1,5,,,,290,34,6.9,59.8,32.3,0.2,0.8,,,,47.8,5.6
HAYS CISD,ARMANDO CHAPA M S,HAYS,-98.737901,29.431991,200 N GROSENBACHER,SAN ANTONIO,78253,105906045,01-01-07,676,50,424,193,1,8,,,,360,50,7.4,62.7,28.6,0.1,1.2,,,,53.3,7.4
HAYS CISD,KYLE EL,HAYS,-95.180813,32.496594,605 WILDCAT DR,WINONA,75792,105906101,01-01-07,608,46,336,219,0,7,,,,233,14,7.6,55.3,36,0,1.2,,,,38.3,2.3
HAYS CISD,GREEN EL,HAYS,-96.738017,33.169828,15601 CHRISTOPHER LN,FRISCO,75035,105906103,01-01-07,703,14,556,128,3,2,,,,425,337,2,79.1,18.2,0.4,0.3,,,,60.5,47.9
HAYS CISD,BUDA EL,HAYS,-95.111443,29.574633,2465 FALCON PASS DR,HOUSTON,77062,105906106,01-01-07,587,15,239,328,1,4,,,,136,7,2.6,40.7,55.9,0.2,0.7,,,,23.2,1.2
HAYS CISD,ELM GROVE EL,HAYS,-98.068382,33.036223000000106,216 N BENSON,PERRIN,76486,105906107,01-01-07,560,15,99,441,0,5,,,,57,14,2.7,17.7,78.8,0,0.9,,,,10.2,2.5
HAYS CISD,SUSIE FUENTES EL,HAYS,-94.184722346999592,30.343237204000555,770 S 7TH,SILSBEE,77656,105906108,01-01-07,571,41,304,215,5,6,,,,208,24,7.2,53.2,37.7,0.9,1.1,,,,36.4,4.2
HAYS CISD,HEMPHILL EL,HAYS,-99.924957712156242,31.503855104187199,698 S SIMS ST,PAINT ROCK,76866,105906109,01-01-07,955,23,789,136,3,4,,,,750,416,2.4,82.6,14.2,0.3,0.4,,,,78.5,43.6
HAYS CISD,ROSALIO TOBIAS INTERNATIONAL SCHO,HAYS,-95.46894,29.799877,6705 HOUSMAN ST,HOUSTON,77055,105906110,01-01-07,795,41,493,257,1,3,,,,437,138,5.2,62,32.3,0.1,0.4,,,,55,17.4
HAYS CISD,NEGLEY EL,HAYS,-93.957314,29.933425,5701 9TH AVE,PORT ARTHUR,77642,105906111,01-01-07,599,13,153,424,5,4,,,,74,5,2.2,25.5,70.8,0.8,0.7,,,,12.4,0.8
HAYS CISD,SCIENCE HALL EL,HAYS,-94.723128,31.354776000000129,507 KURTH DR,LUFKIN,75904,105906112,01-01-07,672,21,498,146,0,7,,,,402,157,3.1,74.1,21.7,0,1,,,,59.8,23.4
AUSTIN ISD,AUSTIN H S,TRAVIS,-95.248672,29.418522,605 W HOUSE ST,ALVIN,77511,227901002,01-01-07,2141,137,846,1120,7,31,,,,617,90,6.4,39.5,52.3,0.3,1.4,,,,28.8,4.2
AUSTIN ISD,JOHNSTON H S,TRAVIS,-97.131662,32.710079,2011 S FIELDER RD,ARLINGTON,76013,227901003,01-01-07,711,114,584,13,0,0,,,,580,145,16,82.1,1.8,0,0,,,,81.6,20.4
AUSTIN ISD,LANIER H S,TRAVIS,-98.685745,29.439655,600 ELLISON N,SAN ANTONIO,78251,227901004,01-01-07,1584,229,1195,112,5,43,,,,1250,490,14.5,75.4,7.1,0.3,2.7,,,,78.9,30.9
AUSTIN ISD,MCCALLUM H S,TRAVIS,-95.872253999999884,32.693038000000115,804 E PINE,EDGEWOOD,75117,227901005,01-01-07,1746,386,519,816,10,15,,,,619,70,22.1,29.7,46.7,0.6,0.9,,,,35.5,4
AUSTIN ISD,REAGAN H S,TRAVIS,-97.348891,32.882881,1301 HIGH COUNTRY TRL,FORT WORTH,76131,227901006,01-01-07,968,321,625,19,0,3,,,,808,249,33.2,64.6,2,0,0.3,,,,83.5,25.7
AUSTIN ISD,TRAVIS H S,TRAVIS,-94.746825,31.324665,1014 ALLENDALE DR,LUFKIN,75904,227901007,01-01-07,1488,209,1181,84,2,12,,,,1190,324,14,79.4,5.6,0.1,0.8,,,,80,21.8
AUSTIN ISD,CROCKETT H S,TRAVIS,-98.051689,30.745706,315 MAIN,BERTRAM,78605,227901008,01-01-07,1976,186,1187,575,7,21,,,,1013,209,9.4,60.1,29.1,0.4,1.1,,,,51.3,10.6
AUSTIN ISD,ANDERSON H S,TRAVIS,-95.342597,29.694364000000117,5001 PERRY ST,HOUSTON,77021,227901009,01-01-07,2016,159,442,1285,5,125,,,,341,47,7.9,21.9,63.7,0.2,6.2,,,,16.9,2.3
AUSTIN ISD,JOHNSON H S,TRAVIS,-98.319238,26.24272,200 E TWO MILE RD,MISSION,78574,227901010,01-01-07,1687,517,610,442,4,114,,,,867,136,30.6,36.2,26.2,0.2,6.8,,,,51.4,8.1
AUSTIN ISD,ALTERNATIVE LEARNING CENTER,TRAVIS,-101.932243,33.551967,4602 CHICAGO AVE,LUBBOCK,79414,227901012,01-01-07,202,61,120,17,1,3,,,,154,35,30.2,59.4,8.4,0.5,1.5,,,,76.2,17.3
AUSTIN ISD,BOWIE H S,TRAVIS,-96.428049,32.905392,2051 TRAIL GLEN,ROCKWALL,75032,227901013,01-01-07,2805,120,726,1807,16,136,,,,217,25,4.3,25.9,64.4,0.6,4.8,,,,7.7,0.9
AUSTIN ISD,GARZA INDEPENDENCE H S,TRAVIS,-98.180164,26.205248,200 E EXPY 83 STE E,PHARR,78577,227901015,01-01-07,309,35,111,160,2,1,,,,95,6,11.3,35.9,51.8,0.6,0.3,,,,30.7,1.9
AUSTIN ISD,AKINS H S,TRAVIS,-101.853242,33.578024,1628 19TH ST,LUBBOCK,79401,227901017,01-01-07,2340,285,1533,454,5,63,,,,1315,215,12.2,65.5,19.4,0.2,2.7,,,,56.2,9.2
AUSTIN ISD,INTERNATIONAL H S,TRAVIS,-101.68332,33.660425,403 7TH ST,IDALOU,79329,227901029,01-01-07,260,3,241,7,0,9,,,,239,251,1.2,92.7,2.7,0,3.5,,,,91.9,96.5
AUSTIN ISD,TRAVIS COUNTY JUVENILE DETENTION,TRAVIS,-95.4802,29.717602000000106,5815 ALDER DR,HOUSTON,77081,227901030,01-01-07,110,21,70,17,1,1,,,,47,16,19.1,63.6,15.5,0.9,0.9,,,,42.7,14.5
AUSTIN ISD,PHOENIX ACADEMY,TRAVIS,-98.523758,29.367618,834 W SOUTHCROSS BLVD,SAN ANTONIO,78211,227901032,01-01-07,37,3,22,12,0,0,,,,6,2,8.1,59.5,32.4,0,0,,,,16.2,5.4
AUSTIN ISD,LEADERSHIP ACADEMY,TRAVIS,-95.466091,29.93682,3171 N SAM HOUSTON PKWY W,HOUSTON,77038,227901035,01-01-07,50,15,25,10,0,0,,,,15,10,30,50,20,0,0,,,,30,20
AUSTIN ISD,TRAVIS COUNTY J J A E P,TRAVIS,-95.411652,29.671552,9115 KIRBY DR,HOUSTON,77054,227901036,01-01-07,20,4,13,3,0,0,,,,10,7,20,65,15,0,0,,,,50,35
AUSTIN ISD,FULMORE M S,TRAVIS,-97.39817,32.814209,5250 ESTRELLA DR,FORT WORTH,76106,227901043,01-01-07,1022,128,688,184,4,18,,,,731,199,12.5,67.3,18,0.4,1.8,,,,71.5,19.5
AUSTIN ISD,KEALING M S,TRAVIS,-106.194827,31.675266000000125,400 KENAZO AVE,EL PASO,79928,227901044,01-01-07,1236,293,411,448,3,81,,,,596,79,23.7,33.3,36.2,0.2,6.6,,,,48.2,6.4
AUSTIN ISD,LAMAR M S,TRAVIS,-98.651101,29.539823,10419 OLD PRUE RD,SAN ANTONIO,78249,227901045,01-01-07,682,97,251,310,4,20,,,,318,66,14.2,36.8,45.5,0.6,2.9,,,,46.6,9.7
AUSTIN ISD,BURNET M S,TRAVIS,-96.751146,33.127628,6075 INDEPENDENCE PKWY,FRISCO,75035,227901046,01-01-07,1011,162,753,75,1,20,,,,905,380,16,74.5,7.4,0.1,2,,,,89.5,37.6
AUSTIN ISD,O HENRY M S,TRAVIS,-96.900665,33.026232,1520 POLSER RD,CARROLLTON,75010,227901047,01-01-07,805,69,286,434,2,14,,,,271,38,8.6,35.5,53.9,0.2,1.7,,,,33.7,4.7
AUSTIN ISD,PEARCE M S,TRAVIS,-100.472017,28.688947,10 MEMORIAL DR,EAGLE PASS,78852,227901048,01-01-07,810,328,466,15,0,1,,,,745,207,40.5,57.5,1.9,0,0.1,,,,92,25.6
AUSTIN ISD,PORTER M S,TRAVIS,-97.2945,27.647497,2501 WALDRON RD,CORPUS CHRISTI,78418,227901049,01-01-07,359,26,278,50,2,3,,,,304,82,7.2,77.4,13.9,0.6,0.8,,,,84.7,22.8
AUSTIN ISD,MARTIN M S,TRAVIS,-98.485214,29.321375,12121 S E LOOP 410,SAN ANTONIO,78221,227901051,01-01-07,707,67,627,11,2,0,,,,662,195,9.5,88.7,1.6,0.3,0,,,,93.6,27.6
AUSTIN ISD,MURCHISON M S,TRAVIS,-100.481896,31.461385000000121,1700 N GARFIELD ST,SAN ANGELO,76901,227901052,01-01-07,1210,91,259,775,4,81,,,,230,57,7.5,21.4,64,0.3,6.7,,,,19,4.7
AUSTIN ISD,WEBB M S,TRAVIS,-95.548039,30.70741,2407-A SAM HOUSTON AVE,HUNTSVILLE,77340,227901053,01-01-07,669,98,550,16,1,4,,,,632,320,14.6,82.2,2.4,0.1,0.6,,,,94.5,47.8
AUSTIN ISD,BEDICHEK M S,TRAVIS,-96.686035,32.757525,7900 HUME DR,DALLAS,75227,227901054,01-01-07,1023,102,739,172,1,9,,,,714,153,10,72.2,16.8,0.1,0.9,,,,69.8,15
AUSTIN ISD,DOBIE M S,TRAVIS,-98.488009,29.526803,4941 WALZEM RD,SAN ANTONIO,78218,227901055,01-01-07,865,210,616,29,0,10,,,,800,326,24.3,71.2,3.4,0,1.2,,,,92.5,37.7
AUSTIN ISD,COVINGTON M S,TRAVIS,-94.529296,31.503465,5263 F M 226,WODEN,75978,227901057,01-01-07,908,84,463,341,0,20,,,,422,56,9.3,51,37.6,0,2.2,,,,46.5,6.2
AUSTIN ISD,MENDEZ M S,TRAVIS,-95.342507999999668,29.787764000000553,2903 JENSEN DR,HOUSTON,77026,227901058,01-01-07,1116,140,940,30,3,3,,,,1022,266,12.5,84.2,2.7,0.3,0.3,,,,91.6,23.8
AUSTIN ISD,BAILEY M S,TRAVIS,-95.546417,29.811498,2045 GESSNER,HOUSTON,77080,227901059,01-01-07,1174,47,306,749,6,66,,,,178,22,4,26.1,63.8,0.5,5.6,,,,15.2,1.9
AUSTIN ISD,SMALL M S,TRAVIS,-97.396744,32.137993,310 S AVE F,BLUM,76627,227901060,01-01-07,1139,47,291,741,3,57,,,,186,34,4.1,25.5,65.1,0.3,5,,,,16.3,3
AUSTIN ISD,PAREDES M S,TRAVIS,-97.228737,33.636561,625 KNIGHT DR,LINDSAY,76250,227901061,01-01-07,1054,119,700,199,4,32,,,,662,111,11.3,66.4,18.9,0.4,3,,,,62.8,10.5
AUSTIN ISD,ALLISON EL,TRAVIS,-95.242709,29.978516000000131,2400 COLD RIVER DR,HUMBLE,77338,227901101,01-01-07,511,60,443,7,0,1,,,,484,158,11.7,86.7,1.4,0,0.2,,,,94.7,30.9
AUSTIN ISD,ANDREWS EL,TRAVIS,-97.900013999999885,26.146488,500 S RIO RICO RD,MERCEDES,78570,227901102,01-01-07,606,177,411,17,0,1,,,,582,331,29.2,67.8,2.8,0,0.2,,,,96,54.6
AUSTIN ISD,BARTON HILLS EL,TRAVIS,-96.686842,32.870309,8939 WHITEWING LN,DALLAS,75238,227901103,01-01-07,358,9,80,257,0,12,,,,56,5,2.5,22.3,71.8,0,3.4,,,,15.6,1.4
AUSTIN ISD,BECKER EL,TRAVIS,-96.857771,32.714404000000116,2959 HAMPTON RD,DALLAS,75204,227901104,01-01-07,226,33,180,12,0,1,,,,203,72,14.6,79.6,5.3,0,0.4,,,,89.8,31.9
AUSTIN ISD,BLACKSHEAR EL,TRAVIS,-98.001309,26.19791,1001 W MILE 10,WESLACO,78596,227901105,01-01-07,272,64,205,3,0,0,,,,268,137,23.5,75.4,1.1,0,0,,,,98.5,50.4
AUSTIN ISD,BLANTON EL,TRAVIS,-100.875304,29.372587,720 E DE LA ROSA,DEL RIO,78840,227901106,01-01-07,562,92,450,20,0,0,,,,521,351,16.4,80.1,3.6,0,0,,,,92.7,62.5
AUSTIN ISD,BRENTWOOD EL,TRAVIS,-98.286581,30.582591,1800 COLT CIR,MARBLE FALLS,78654,227901107,01-01-07,412,33,201,171,1,6,,,,241,72,8,48.8,41.5,0.2,1.5,,,,58.5,17.5
AUSTIN ISD,BROOKE EL,TRAVIS,-97.360625,32.760096,100 N UNIVERSITY DR,FORT WORTH,76107,227901108,01-01-07,358,36,301,17,0,4,,,,334,114,10.1,84.1,4.7,0,1.1,,,,93.3,31.8
AUSTIN ISD,BROWN EL,TRAVIS,-99.736281,32.43909,1929 S 11TH,ABILENE,79602,227901109,01-01-07,525,32,470,17,1,5,,,,493,354,6.1,89.5,3.2,0.2,1,,,,93.9,67.4
AUSTIN ISD,BRYKER WOODS EL,TRAVIS,-97.606224,32.019857000000115,1306 CHARLES ST,MORGAN,76671,227901110,01-01-07,426,25,80,299,4,18,,,,51,17,5.9,18.8,70.2,0.9,4.2,,,,12,4
AUSTIN ISD,CAMPBELL EL,TRAVIS,-95.635845,29.755687,14201 BRIAR FOREST,HOUSTON,77077,227901111,01-01-07,401,239,160,2,0,0,,,,370,85,59.6,39.9,0.5,0,0,,,,92.3,21.2
AUSTIN ISD,CASIS EL,TRAVIS,-97.062004,33.173195,4400 LAKEVIEW BLVD,DENTON,76208,227901112,01-01-07,740,22,85,609,0,24,,,,26,20,3,11.5,82.3,0,3.2,,,,3.5,2.7
AUSTIN ISD,CUNNINGHAM EL,TRAVIS,-100.977098,35.562605,2300 PRIMROSE,PAMPA,79065,227901113,01-01-07,540,53,300,159,3,25,,,,311,80,9.8,55.6,29.4,0.6,4.6,,,,57.6,14.8
AUSTIN ISD,DAWSON EL,TRAVIS,-97.638894,30.273572,8509 FM 969 BLDG A,AUSTIN,78724,227901114,01-01-07,373,30,321,22,0,0,,,,328,147,8,86.1,5.9,0,0,,,,87.9,39.4
AUSTIN ISD,ACES- ALTERNATIVE CENTER FOR ELEM,TRAVIS,-98.914391,29.148767000000131,112 BENTSEN DR,DEVINE,78016,227901115,01-01-07,24,13,8,3,0,0,,,,16,2,54.2,33.3,12.5,0,0,,,,66.7,8.3
AUSTIN ISD,GOVALLE EL,TRAVIS,-97.149468,31.557476000000118,1101 N 15TH ST,WACO,76707,227901116,01-01-07,390,68,313,9,0,0,,,,377,133,17.4,80.3,2.3,0,0,,,,96.7,34.1
AUSTIN ISD,GULLETT EL,TRAVIS,-101.387162,35.652586,400 KAYE ST,BORGER,79007,227901117,01-01-07,440,10,48,359,3,20,,,,32,8,2.3,10.9,81.6,0.7,4.5,,,,7.3,1.8
AUSTIN ISD,HARRIS EL,TRAVIS,-95.61497,30.097429,17950 WALLER TOMBALL RD,TOMBALL,77377,227901118,01-01-07,708,106,579,19,4,0,,,,683,466,15,81.8,2.7,0.6,0,,,,96.5,65.8
AUSTIN ISD,HIGHLAND PARK EL,TRAVIS,-98.425182,30.105695,814 ELEVENTH ST,BLANCO,78606,227901119,01-01-07,531,11,54,435,0,31,,,,29,15,2.1,10.2,81.9,0,5.8,,,,5.5,2.8
AUSTIN ISD,JOSLIN EL,TRAVIS,-96.78582,32.885634,6920 MEADOW RD,DALLAS,75230,227901120,01-01-07,360,31,252,70,2,5,,,,288,92,8.6,70,19.4,0.6,1.4,,,,80,25.6
AUSTIN ISD,LEE EL,TRAVIS,-98.551356,29.427652,4415 MONTERREY,SAN ANTONIO,78237,227901121,01-01-07,412,25,92,250,5,40,,,,42,17,6.1,22.3,60.7,1.2,9.7,,,,10.2,4.1
AUSTIN ISD,MAPLEWOOD EL,TRAVIS,-95.622064,29.589605,4455 WATERSIDE ESTATES DR,RICHMOND,77406,227901122,01-01-07,336,137,134,58,0,7,,,,253,59,40.8,39.9,17.3,0,2.1,,,,75.3,17.6
AUSTIN ISD,MATHEWS EL,TRAVIS,-95.198207,29.646618,4221 FOX MEADOW LN,PASADENA,77504,227901123,01-01-07,425,41,143,163,0,78,,,,226,89,9.6,33.6,38.4,0,18.4,,,,53.2,20.9
AUSTIN ISD,METZ EL,TRAVIS,-100.25782,31.476951,18000 WILDCAT DR,WATER VALLEY,76958,227901124,01-01-07,675,12,651,9,1,2,,,,628,301,1.8,96.4,1.3,0.1,0.3,,,,93,44.6
AUSTIN ISD,OAK SPRINGS EL,TRAVIS,-94.018437,29.899475000000109,2441 61ST ST,PORT ARTHUR,77640,227901125,01-01-07,286,94,185,6,0,1,,,,281,57,32.9,64.7,2.1,0,0.3,,,,98.3,19.9
